City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Iralaya,HN,84.2,scattered clouds,15.0,-83.23,Iglesia morava renovada
6,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
7,Castro,BR,76.17,scattered clouds,-24.79,-50.01,CHACARA BAILLY
11,Keti Bandar,PK,82.36,scattered clouds,24.14,67.45,Haji laloo memon house
15,Buala,SB,81.3,light rain,-8.14,159.59,Maringe Lagoon Lodge
16,Faya,SA,82.4,few clouds,18.39,42.45,مقبرة ال مجمل
17,Bethel,US,75.2,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
20,Muborak,UZ,81.19,clear sky,39.26,65.15,Gostinitsa Prestizh
23,Kununurra,AU,77.0,clear sky,-15.77,128.73,Hotel Kununurra
26,Cabinda,AO,77.0,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
29,Uttaradit,TH,75.63,broken clouds,17.67,100.5,บ้าน ณ ภาสิริ
30,Sinop,TR,78.8,scattered clouds,41.77,34.87,
41,Ribeira Grande,PT,77.0,few clouds,38.52,-28.7,Quinta da Meia Eira
43,Atuona,PF,78.21,light rain,-9.8,-139.03,Villa Enata
50,Fethiye,TR,87.8,clear sky,36.62,29.12,Club & Hotel Letoonia
52,Itarema,BR,87.75,broken clouds,-2.92,-39.92,Windvillage
59,Avera,US,86.0,clear sky,33.19,-82.53,
65,Angra Dos Reis,BR,86.0,few clouds,-23.01,-44.32,Mercure Angra dos Reis
67,Kaputa,ZM,85.53,clear sky,-8.47,29.66,Chelelwa Charlets
68,Sur,OM,86.29,overcast clouds,22.57,59.53,Sur Plaza Hotel
74,Vila,PT,90.0,clear sky,42.03,-8.16,Hotel Castrum Villae
78,Marsh Harbour,BS,84.67,overcast clouds,26.54,-77.06,Abaco Beach Resort
83,Labuhan,ID,80.87,overcast clouds,-6.88,112.21,bador sepret
86,Sao Joao Da Barra,BR,82.4,few clouds,-21.64,-41.05,Pousada Porto De Canoas
89,Hithadhoo,MV,82.13,few clouds,-0.6,73.08,Scoop Guest House
94,Kavaratti,IN,81.88,moderate rain,10.57,72.64,Hotels in Lakshadweep Islands
95,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
98,Auki,SB,79.3,overcast clouds,-8.77,160.7,Auki Motel
99,Archidona,ES,80.01,clear sky,37.1,-4.39,Hotel Escua
100,Kutoarjo,ID,77.47,light rain,-7.72,109.91,Massagus Hotel
106,Chirala,IN,83.37,clear sky,15.82,80.35,Bala Residency
109,Bengkulu,ID,77.83,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
110,Palmer,US,77.0,broken clouds,42.16,-72.33,Wedgewood Motel
111,Shieli,KZ,82.96,few clouds,44.17,66.75,Gostinitsa Aybek Shieli
