City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
0,Dikson,RU,73.51,80.55,40.69,88,12,12.48,few clouds
1,Mount Gambier,AU,-37.83,140.77,44.6,93,40,8.05,scattered clouds
2,Iralaya,HN,15.0,-83.23,84.2,79,40,1.88,scattered clouds
3,Hilo,US,19.73,-155.09,73.4,64,90,4.7,overcast clouds
4,Punta Arenas,CL,-53.15,-70.92,39.2,85,100,5.82,overcast clouds
5,Mataura,NZ,-46.19,168.86,45.0,72,100,11.01,overcast clouds
6,Avarua,CK,-21.21,-159.78,75.2,88,100,14.99,overcast clouds
7,Castro,BR,-24.79,-50.01,76.17,49,25,12.06,scattered clouds
8,East London,ZA,-33.02,27.91,69.8,56,0,6.93,clear sky
9,Isla Vista,US,34.41,-119.86,64.0,87,1,4.7,clear sky
10,Iqaluit,CA,63.75,-68.51,51.8,53,75,14.99,broken clouds
11,Keti Bandar,PK,24.14,67.45,82.36,81,49,9.15,scattered clouds
12,Rosarito,MX,32.33,-117.03,68.0,93,90,3.36,mist
13,Charagua,BO,-19.8,-63.22,62.6,48,1,4.52,clear sky
14,Hamilton,US,39.18,-84.53,73.99,94,90,2.48,light rain
15,Buala,SB,-8.14,159.59,81.3,79,100,10.27,light rain
16,Faya,SA,18.39,42.45,82.4,44,20,6.93,few clouds
17,Bethel,US,41.37,-73.41,75.2,57,1,5.82,clear sky
18,Lannion,FR,48.75,-3.42,71.6,64,90,11.41,overcast clouds
19,Ponta Do Sol,PT,32.67,-17.1,73.99,65,25,0.54,scattered clouds
20,Muborak,UZ,39.26,65.15,81.19,16,0,6.42,clear sky
21,Port Alfred,ZA,-33.59,26.89,66.54,58,0,10.87,clear sky
22,Ahipara,NZ,-35.17,173.17,48.72,83,0,8.95,clear sky
23,Kununurra,AU,-15.77,128.73,77.0,75,0,3.36,clear sky
24,Norman Wells,CA,65.28,-126.83,44.6,81,75,4.7,broken clouds
25,Provideniya,RU,64.38,-173.3,39.92,73,96,0.78,overcast clouds
26,Cabinda,AO,-5.55,12.2,77.0,78,75,8.05,broken clouds
27,Bluff,NZ,-46.6,168.33,45.0,72,100,11.01,overcast clouds
28,Albany,US,42.6,-73.97,73.99,70,87,3.76,overcast clouds
29,Uttaradit,TH,17.67,100.5,75.63,92,58,1.72,broken clouds
30,Sinop,TR,41.77,34.87,78.8,78,40,9.17,scattered clouds
31,Saskylakh,RU,71.92,114.08,49.77,75,100,12.57,light rain
32,Severo-Kurilsk,RU,50.68,156.12,54.37,92,100,12.21,overcast clouds
33,Esperance,AU,-33.87,121.9,57.2,62,6,13.87,clear sky
34,Guaiba,BR,-30.11,-51.33,53.6,100,90,14.99,overcast clouds
35,Rikitea,PF,-23.12,-134.97,71.37,86,0,10.74,light rain
36,Ushuaia,AR,-54.8,-68.3,37.4,93,90,1.36,drizzle
37,San Quintin,MX,30.48,-115.95,69.37,83,27,8.68,scattered clouds
38,Yeppoon,AU,-23.13,150.73,68.0,77,90,9.17,overcast clouds
39,Kodiak,US,57.79,-152.41,39.2,86,20,9.17,few clouds
40,Bilibino,RU,68.05,166.44,29.16,96,14,4.94,few clouds
41,Ribeira Grande,PT,38.52,-28.7,77.0,73,20,5.82,few clouds
42,Mulchen,CL,-37.72,-72.23,46.4,93,75,5.82,broken clouds
43,Atuona,PF,-9.8,-139.03,78.21,75,12,17.56,light rain
44,Port Elizabeth,ZA,-33.92,25.57,66.2,68,27,9.17,scattered clouds
45,Aksarka,RU,66.56,67.8,46.13,73,23,14.56,few clouds
46,Saldanha,ZA,-33.01,17.94,69.8,60,93,10.29,overcast clouds
47,Bambous Virieux,MU,-20.34,57.76,71.6,78,75,16.11,shower rain
48,Husavik,IS,66.04,-17.34,44.6,87,90,19.46,light intensity drizzle
49,Verkhnyaya Maksakovka,RU,61.63,50.97,53.6,76,100,4.47,overcast clouds
50,Fethiye,TR,36.62,29.12,87.8,70,0,10.29,clear sky
51,Altayskoye,RU,51.95,85.33,67.48,46,67,8.72,broken clouds
52,Itarema,BR,-2.92,-39.92,87.75,46,72,17.83,broken clouds
53,Pokhara,NP,28.23,83.98,73.13,82,100,1.34,light rain
54,Vaini,TO,-21.2,-175.2,69.8,77,40,11.41,scattered clouds
55,Jamestown,US,42.1,-79.24,69.01,100,20,8.05,few clouds
56,Hualmay,PE,-11.1,-77.61,64.15,70,98,8.99,overcast clouds
57,Lanzhou,CN,36.06,103.79,61.0,52,3,3.78,clear sky
58,Zyryanka,RU,65.75,150.85,37.13,80,0,2.1,clear sky
59,Avera,US,33.19,-82.53,86.0,79,1,8.05,clear sky
60,Busselton,AU,-33.65,115.33,60.01,62,100,13.42,overcast clouds
61,Atar,MR,20.52,-13.05,105.96,18,64,14.09,broken clouds
62,Chokurdakh,RU,70.63,147.92,38.84,75,96,6.35,overcast clouds
63,Cape Town,ZA,-33.93,18.42,70.0,56,71,3.36,broken clouds
64,Novoleushkovskaya,RU,46.0,39.99,94.19,24,39,17.22,scattered clouds
65,Angra Dos Reis,BR,-23.01,-44.32,86.0,42,20,12.75,few clouds
66,Alihe,CN,50.57,123.72,55.29,92,100,11.16,moderate rain
67,Kaputa,ZM,-8.47,29.66,85.53,27,0,4.65,clear sky
68,Sur,OM,22.57,59.53,86.29,55,100,3.96,overcast clouds
69,Thompson,CA,55.74,-97.86,44.6,100,90,11.41,light intensity shower rain
70,Hermanus,ZA,-34.42,19.23,66.99,68,94,1.99,overcast clouds
71,Moron,AR,-34.65,-58.62,53.01,75,19,3.0,few clouds
72,Udomlya,RU,57.88,34.99,63.82,70,100,10.31,overcast clouds
73,Aklavik,CA,68.22,-135.01,46.4,100,90,3.36,mist
74,Vila,PT,42.03,-8.16,90.0,26,0,3.0,clear sky
75,Angoche,MZ,-16.23,39.91,72.7,68,48,14.74,scattered clouds
76,Coihaique,CL,-45.58,-72.07,44.6,76,75,9.17,broken clouds
77,Kahului,US,20.89,-156.47,72.0,73,1,7.67,clear sky
78,Marsh Harbour,BS,26.54,-77.06,84.67,71,100,10.4,overcast clouds
79,Beringovskiy,RU,63.05,179.32,44.67,80,56,7.25,broken clouds
80,Haines Junction,CA,60.75,-137.51,45.55,77,98,3.04,overcast clouds
81,Grand Gaube,MU,-20.01,57.66,71.01,72,50,5.99,scattered clouds
82,Sol-Iletsk,RU,51.16,54.99,59.72,48,0,12.68,clear sky
83,Labuhan,ID,-6.88,112.21,80.87,78,97,6.76,overcast clouds
84,Ambilobe,MG,-13.2,49.05,73.94,75,16,5.23,light rain
85,Pangnirtung,CA,66.15,-65.71,42.8,87,75,9.17,broken clouds
86,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,48,20,6.93,few clouds
87,Kaitangata,NZ,-46.28,169.85,39.0,86,83,4.29,broken clouds
88,Portland,US,45.52,-122.68,64.99,82,1,3.36,clear sky
89,Hithadhoo,MV,-0.6,73.08,82.13,76,13,12.68,few clouds
90,Qaanaaq,GL,77.48,-69.36,27.88,82,63,5.26,broken clouds
91,Suntar,RU,62.14,117.63,50.04,93,0,4.38,clear sky
92,Hobart,AU,-42.88,147.33,50.0,61,40,16.11,scattered clouds
93,Madera,US,37.17,-119.83,71.01,51,0,1.12,clear sky
94,Kavaratti,IN,10.57,72.64,81.88,80,85,10.36,moderate rain
95,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
96,Yellowknife,CA,62.46,-114.35,39.2,93,20,6.93,few clouds
97,Pevek,RU,69.7,170.31,34.34,90,52,5.28,broken clouds
98,Auki,SB,-8.77,160.7,79.3,81,100,4.83,overcast clouds
99,Archidona,ES,37.1,-4.39,80.01,63,0,5.01,clear sky
