City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,High Level,CA,2020-09-01 15:29:17,58.52,-117.14,53.6,76,75,8.05
1,Butaritari,KI,2020-09-01 15:29:20,3.07,172.79,83.39,76,40,14.52
2,Albany,US,2020-09-01 15:25:16,42.6,-73.97,70.0,72,90,9.17
3,Mahajanga,MG,2020-09-01 15:29:21,-15.72,46.32,84.2,51,40,9.17
4,Cherskiy,RU,2020-09-01 15:29:21,68.75,161.3,39.29,86,98,5.86
5,Atambua,ID,2020-09-01 15:29:21,-9.11,124.89,71.06,90,11,5.44
6,Punta Arenas,CL,2020-09-01 15:26:03,-53.15,-70.92,35.6,76,100,9.17
7,Saint George,US,2020-09-01 15:29:22,37.1,-113.58,75.2,22,1,4.7
8,Bredasdorp,ZA,2020-09-01 15:29:22,-34.53,20.04,62.6,72,64,19.46
9,Kahului,US,2020-09-01 15:27:43,20.89,-156.47,78.8,69,1,16.11
10,Mar Del Plata,AR,2020-09-01 15:29:09,-38.0,-57.56,46.4,61,40,11.41
11,Laguna,US,2020-09-01 15:29:23,38.42,-121.42,63.0,77,1,3.36
12,Khatanga,RU,2020-09-01 15:29:23,71.97,102.5,45.07,78,0,12.06
13,Georgetown,MY,2020-09-01 15:29:23,5.41,100.34,86.0,83,20,3.36
14,Hithadhoo,MV,2020-09-01 15:29:23,-0.6,73.08,82.18,79,100,11.72
15,Ushuaia,AR,2020-09-01 15:25:42,-54.8,-68.3,37.4,64,100,6.93
16,Kiambu,KE,2020-09-01 15:26:08,-1.17,36.83,75.2,41,75,18.34
17,Bonavista,CA,2020-09-01 15:29:24,48.65,-53.11,57.0,76,24,11.99
18,Hobart,AU,2020-09-01 15:28:56,-42.88,147.33,42.8,81,100,10.29
19,Rikitea,PF,2020-09-01 15:29:25,-23.12,-134.97,67.78,82,66,22.03
20,Tura,IN,2020-09-01 15:29:25,25.52,90.22,74.48,97,100,4.27
21,Vilyuysk,RU,2020-09-01 15:29:25,63.76,121.62,48.65,90,62,3.47
22,Muisne,EC,2020-09-01 15:29:25,0.6,-80.03,78.8,83,75,9.17
23,Kodiak,US,2020-09-01 15:25:29,57.79,-152.41,53.6,76,20,5.82
24,Namibe,AO,2020-09-01 15:25:34,-15.2,12.15,68.0,72,40,13.87
25,Pacific Grove,US,2020-09-01 15:28:00,36.62,-121.92,57.0,93,51,1.3
26,Busselton,AU,2020-09-01 15:29:26,-33.65,115.33,54.0,58,64,19.46
27,Vaini,TO,2020-09-01 15:29:27,-21.2,-175.2,75.2,88,75,5.82
28,Tiznit,MA,2020-09-01 15:29:27,29.58,-9.5,85.93,51,0,9.86
29,Denpasar,ID,2020-09-01 15:26:14,-8.65,115.22,78.8,100,20,10.29
30,Curanilahue,CL,2020-09-01 15:29:27,-37.47,-73.35,56.08,59,1,3.15
31,Campbell River,CA,2020-09-01 15:27:26,50.02,-125.24,59.0,100,75,0.96
32,Carutapera,BR,2020-09-01 15:29:28,-1.2,-46.02,86.74,60,45,10.96
33,Coquimbo,CL,2020-09-01 15:29:28,-29.95,-71.34,57.2,71,75,6.93
34,Taree,AU,2020-09-01 15:29:28,-31.9,152.47,51.8,87,4,3.91
35,Sovetskiy,RU,2020-09-01 15:29:29,61.36,63.58,51.31,94,100,2.57
36,Cayenne,GF,2020-09-01 15:29:29,4.93,-52.33,87.8,62,40,9.17
37,Ixtapa,MX,2020-09-01 15:29:29,20.7,-105.2,80.6,83,40,3.36
38,Vardo,NO,2020-09-01 15:29:30,70.37,31.11,51.8,57,20,11.41
39,Bengkulu,ID,2020-09-01 15:29:30,-3.8,102.27,77.32,89,95,9.1
40,Hermanus,ZA,2020-09-01 15:29:30,-34.42,19.23,63.0,73,100,10.0
41,East London,ZA,2020-09-01 15:29:30,-33.02,27.91,62.6,72,40,21.92
42,New Norfolk,AU,2020-09-01 15:29:31,-42.78,147.06,39.0,69,100,2.35
43,Poum,NC,2020-09-01 15:29:31,-20.23,164.02,70.63,69,64,7.34
44,Balabac,PH,2020-09-01 15:29:31,7.99,117.06,82.38,74,89,4.38
45,Atikokan,CA,2020-09-01 15:29:31,48.76,-91.62,57.81,49,83,8.05
46,Bluff,NZ,2020-09-01 15:29:32,-46.6,168.33,38.17,81,19,8.16
47,Vieux-Habitants,GP,2020-09-01 15:29:32,16.06,-61.77,87.8,66,87,10.29
48,Tamarindo,CU,2020-09-01 15:29:32,22.12,-78.91,86.59,68,28,11.95
49,Quesnel,CA,2020-09-01 15:29:32,53.0,-122.5,53.6,93,90,3.02
50,Zyryanka,RU,2020-09-01 15:29:33,65.75,150.85,40.01,82,97,7.29
51,Tigil,RU,2020-09-01 15:29:33,57.8,158.67,44.53,81,100,8.93
52,Avarua,CK,2020-09-01 15:29:33,-21.21,-159.78,73.4,78,31,16.11
53,Kenai,US,2020-09-01 15:26:02,60.55,-151.26,54.0,81,90,9.17
54,Cape Town,ZA,2020-09-01 15:25:48,-33.93,18.42,66.99,52,67,16.11
55,Provideniya,RU,2020-09-01 15:29:34,64.38,-173.3,40.19,77,24,5.01
56,Alofi,NU,2020-09-01 15:26:09,-19.06,-169.92,71.6,100,3,3.36
57,Saint-Augustin,CA,2020-09-01 15:29:34,51.23,-58.65,62.67,46,0,11.68
58,Dikson,RU,2020-09-01 15:29:35,73.51,80.55,47.23,75,92,9.33
59,Cabedelo,BR,2020-09-01 15:29:35,-6.98,-34.83,82.4,69,75,14.99
60,Rudbar,AF,2020-09-01 15:29:35,30.15,62.6,82.92,16,0,10.18
61,Ponta Do Sol,PT,2020-09-01 15:29:35,32.67,-17.1,82.4,28,20,20.8
62,Shakawe,BW,2020-09-01 15:29:36,-18.37,21.85,88.95,19,67,11.77
63,Morro Bay,US,2020-09-01 15:29:21,35.37,-120.85,61.0,92,0,0.47
64,Cabo San Lucas,MX,2020-09-01 15:25:55,22.89,-109.91,82.0,78,40,5.82
65,Bathsheba,BB,2020-09-01 15:29:36,13.22,-59.52,86.0,70,40,10.29
66,Ilulissat,GL,2020-09-01 15:29:37,69.22,-51.1,35.6,93,75,10.29
67,Erzin,TR,2020-09-01 15:29:37,36.96,36.2,84.99,85,0,8.99
68,Puerto Ayora,EC,2020-09-01 15:29:37,-0.74,-90.35,73.4,56,75,16.11
69,Necochea,AR,2020-09-01 15:29:38,-38.55,-58.74,48.0,68,0,7.0
70,Deputatskiy,RU,2020-09-01 15:29:38,69.3,139.9,29.35,97,9,3.85
71,Mataura,NZ,2020-09-01 15:29:38,-46.19,168.86,30.33,98,0,1.99
72,Airai,TL,2020-09-01 15:29:39,-8.93,125.41,58.14,100,12,3.22
73,Petropavlovskaya,RU,2020-09-01 15:29:39,45.08,40.45,89.44,31,0,10.49
74,Galle,LK,2020-09-01 15:29:12,6.04,80.22,79.38,83,100,7.34
75,Catabola,AO,2020-09-01 15:29:40,-12.15,17.28,80.6,88,40,6.93
76,Tual,ID,2020-09-01 15:29:40,-5.67,132.75,79.75,87,99,18.79
77,Tuktoyaktuk,CA,2020-09-01 15:29:40,69.45,-133.04,44.6,93,75,10.29
78,Kavieng,PG,2020-09-01 15:29:40,-2.57,150.8,80.69,75,100,1.39
79,Carnarvon,AU,2020-09-01 15:29:41,-24.87,113.63,64.4,55,90,16.11
80,Jamestown,US,2020-09-01 15:26:36,42.1,-79.24,70.0,88,90,9.17
81,Barrow,US,2020-09-01 15:25:02,71.29,-156.79,35.6,80,90,16.11
82,Northam,GB,2020-09-01 15:29:41,51.03,-4.22,66.99,73,46,3.0
83,Cidreira,BR,2020-09-01 15:25:17,-30.18,-50.21,58.28,87,100,18.37
84,Shelburne,CA,2020-09-01 15:29:42,44.08,-80.2,77.0,65,1,4.7
85,Santiago,CL,2020-09-01 15:29:42,-33.46,-70.65,54.0,93,90,3.36
86,Saint-Pierre,RE,2020-09-01 15:29:42,-21.34,55.48,71.6,64,20,12.75
87,Oistins,BB,2020-09-01 15:25:38,13.07,-59.53,86.0,70,40,10.29
88,Kapaa,US,2020-09-01 15:29:43,22.08,-159.32,78.8,78,40,16.11
89,Nanortalik,GL,2020-09-01 15:29:43,60.14,-45.24,43.99,81,85,6.44
90,Torbay,CA,2020-09-01 15:29:43,47.67,-52.73,57.99,71,75,13.87
91,Worthington,US,2020-09-01 15:29:43,40.09,-83.02,75.99,83,90,5.82
92,Saint-Philippe,RE,2020-09-01 15:29:44,-21.36,55.77,71.6,64,20,12.75
93,Chuy,UY,2020-09-01 15:29:44,-33.7,-53.46,52.61,75,100,13.47
94,Hirara,JP,2020-09-01 15:29:44,24.8,125.28,85.01,80,100,26.22
95,Agirish,RU,2020-09-01 15:29:44,61.92,63.02,50.13,94,98,5.7
96,Srednekolymsk,RU,2020-09-01 15:29:45,67.45,153.68,40.86,84,99,11.43
